index	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
73	Dactylis glomerata	23672	42	Plant growth form	Plant growth form	Herbaceous Monocot	
175	Achillea millefolium	28740	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	13.89798633	mg/g
231	Achillea millefolium	29085	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	20.5	mg/g
334	Trifolium pratense	93264	42	Plant growth form	Plant growth form	herb	
545	Achillea millefolium	94198	42	Plant growth form	Plant growth form	herbaceous dicotyl	
657	Trifolium pratense	99878	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
667	Trifolium pratense	99880	42	Plant growth form	Shoot growth form, shoot architecture	Stem erect	
116133	Trifolium pratense	172456	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	1.96355793574085	g m-2
889	Trifolium pratense	172459	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	47.6370763778687	mg/g
888	Trifolium pratense	172459	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.333333333333333	g/g
947	Trifolium pratense	172654	3106	Plant height vegetative	Plant height vegetative	0.1	m
1399	Achillea millefolium	285412	42	Plant growth form	Plant growth form	herb	
1503	Achillea millefolium	757714	55	Leaf dry mass (single leaf)	Leaf dry mass	23.2	mg
1567	Dactylis glomerata	758309	55	Leaf dry mass (single leaf)	Leaf dry mass	200.1	mg
1582	Dactylis glomerata	758311	163	Leaf fresh mass	Leaf fresh mass	0.5605	g
1598	Dactylis glomerata	758313	163	Leaf fresh mass	Leaf fresh mass	0.6665	g
1615	Dactylis glomerata	758315	55	Leaf dry mass (single leaf)	Leaf dry mass	150.3	mg
1655	Dactylis glomerata	758320	55	Leaf dry mass (single leaf)	Leaf dry mass	115.4	mg
1670	Dactylis glomerata	758322	163	Leaf fresh mass	Leaf fresh mass	0.176	g
1719	Dactylis glomerata	758328	55	Leaf dry mass (single leaf)	Leaf dry mass	30.0	mg
1782	Dactylis glomerata	758336	163	Leaf fresh mass	Leaf fresh mass	0.3739	g
1791	Dactylis glomerata	758337	55	Leaf dry mass (single leaf)	Leaf dry mass	104.8	mg
1798	Dactylis glomerata	758338	163	Leaf fresh mass	Leaf fresh mass	0.8695	g
1806	Dactylis glomerata	758339	163	Leaf fresh mass	Leaf fresh mass	0.7395	g
1848	Trifolium pratense	759176	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.259939859672569	g/g
